file_path,file_mtime,converted_at,output_path,status,error_message,bu,familia-de-produto,modulo,palavras-chave,produto,segmento,subproduto
input_docx\Arquivo de Exemplo - 2.docx,1785981941.2182424,2026-08-05T23:11:46,output_md\conta-corrente\pj-conta-corrente-outro-outro-validacao-cadastral-uniclass.md,SUCCESS,,pj,conta-corrente,validacao-cadastral,conta-corrente-abertura-pf,outro,uniclass,outro
input_docx\Arquivo de Exemplo.docx,1785981975.144986,2026-08-05T23:11:46,output_md\conta-corrente\pj-conta-corrente-abertura-digital-pf-validacao-cadastral-todos.md,SUCCESS,,pj,conta-corrente,validacao-cadastral,conta-corrente-abertura-pf,abertura-digital,todos,pf
